,business_name,address,zipcode,business_type,website,city_name
323,House Of Tadu,"1120 4th Street, CA 94158",CA 94158,"Restaurant, Ethnic, African, Ethiopian",https://taduethiopiankitchen.com/,San Francisco
324,The Lumpia Company,"130 Townsend Street, CA 94107",CA 94107,"Restaurant, Ethnic",https://www.thelumpiacompany.com/,San Francisco
325,Eko Kitchen,"130 Townsend Street, CA 94107",CA 94107,"Restaurant, Catering, Nigerian",https://www.ekokitchensf.online/,San Francisco
326,El Nuevo Frutilandia,"3077 24th Street, CA 94110",CA 94110,"Restaurant, Caribbean, Ethnic, Music",https://www.frutilandiasf.com/,San Francisco
327,Local Kitchen,"330 1st Street, CA 94105",CA 94105,"Restaurant, Dining",https://local/,San Francisco
328,International Smoke,"301 Mission Street, CA 94105",CA 94105,"Restaurant, Dining",https://internationalsmoke.com/,San Francisco
329,Tunji Food,"351 Fremont Street, CA 94105",CA 94105,Arts,https://tunji.com/,San Francisco
330,Anthony's Cookies,"1417 Valencia Street, CA 94110",CA 94110,"Restaurant, Bakery",https://www.anthonyscookies.com/,San Francisco
331,Peaches Patties,"2948 Folsom Street, CA 94110",CA 94110,"Restaurant, Caribbean",https://peachespatties.com/,San Francisco
332,Teranga,"2948 Folsom Street, CA 94110",CA 94110,"Restaurant, Juice Bar, Healthy Food",https://www.terangajuice.com/,San Francisco
333,Da' Flora,"701 Columbus Avenue, CA 94133",CA 94133,"Restaurant, Ethnic",https://daflora.com/,San Francisco
334,Ungrafted,"2419 3rd Street, CA 94107",CA 94107,"Grocery, Wine & Spirits",https://www.ungraftedsf.com/,San Francisco
335,Sheraton Fishermans Wharf Hotel,"2500 Mason Street, CA 94133",CA 94133,Hotel,https://www.marriott.com/hotels/travel/sfosi-sheraton-fishermans-wharf-hotel/?SWAQ=958P,San Francisco
336,Bella Trattoria,"3848 Geary Boulevard, CA 94118",CA 94118,"Restaurant, Ethnic, Bar",https://osteriabella.com/,San Francisco
337,Tastebuds,"600 5th Avenue, CA 94118",CA 94118,"Restaurant, Soul Food",https://www.sftastebuds.com/,San Francisco
338,Taqueria Los Mayas,"331 Clement Street, CA 94118",CA 94118,"Restaurant, Ethnic, Fast Casual",https://taquerialosmayassf.com/,San Francisco
339,New Eritrea Restaurant,"907 Irving Street, CA 94122",CA 94122,"Restaurant, Eritrean, Ethnic, African",https://neweritrearestaurant.com/,San Francisco
340,Big H Bbq,"4101 3rd Street, CA 94124",CA 94124,"Restaurant, Seafood, Bbq",,San Francisco
341,Camisha's Cakes,"255 Mendell Street, CA 94124",CA 94124,"Restaurant, Bakery",https://www.camishascakes.com/,San Francisco
342,Auntie April’s Chicken-n-waffles,"4618 3rd Street, CA 94124",CA 94124,"Restaurant, Soul Food",https://www.auntieaprilssf.com/,San Francisco
343,Tallio’s,"4732 3rd St, CA 94124",CA 94124,Manufacturing,https://www.tallioscoffee.com/,San Francisco
344,Radio Africa Kitchen,"4800 3rd Street, CA 94124",CA 94124,"Catering, Ethiopian, Ethnic, Restaurant, African",https://www.radioafricakitchen.com/,San Francisco
345,Yvonne's Southern Sweets,"5128 3rd Street, CA 94124",CA 94124,"Restaurant, Bakery",https://www.yvonnessouthernsweets.com/,San Francisco
346,Frisco Fried,"5176 3rd Street, CA 94124",CA 94124,"Restaurant, Soul Food, Seafood",https://friscofried.biz/,San Francisco
347,Excelsior Coffee,"4495 Mission Street, CA 94112",CA 94112,"Restaurant, Coffee Shop, Cafe",https://www.xlcrsf.com/,San Francisco
348,Cafe Envy,"1701 Yosemite Avenue, CA 94124",CA 94124,"Restaurant, Lounge, Casual",,San Francisco
349,Sunset Cantina,"3414 Judah Street, CA 94122",CA 94122,"Restaurant, Ethnic, Bar",https://sunsetcantinasf.com/,San Francisco
350,Red's House,"25 Washington Street, CA 94014",CA 94014,"Restaurant, Caribbean, Ethnic",https://www.eatreds.com/,San Francisco
351,Keith's Chicken N Waffles,"270 San Pedro Road, CA 94014",CA 94014,"Restaurant, Soul Food, Catering",https://www.keithschickennwaffles.com/,San Francisco
352,Bikes 4 Life,"707 Peralta St, CA 94607",CA 94607,"Retail, Bike Shop",https://www.bikes4life.com/,San Francisco
353,Zella’s Soulful Kitchen,"1430 7th St, CA 94607",CA 94607,"Restaurant, Soul Food",https://www.zellassoulfulkitchen.com/,San Francisco
354,Way to Life Foods,"1364 7th St, CA 94607",CA 94607,Consumer Packaged Goods,https://www.waytolifefoods.com/,San Francisco
355,Mandela MarketPlace,"1364 7th St, CA 94607",CA 94607,"Market, Grocery",https://www.mandelapartners.org/,San Francisco
356,B-Love's Guesthouse,"1131 Center St, CA 94607",CA 94607,"Lodging, Bed & Breakfast",https://www.b-lovesguesthouse.com/,San Francisco
357,7th West Oakland,"1255 7th Street, CA 94607",CA 94607,"Restaurant, Casual",https://www.7thwest.com/,San Francisco
358,Proper Fashions LLC,"120 Clay Street 120, CA 94612",CA 94612,Retail,https://properfashions.com/,San Francisco
359,Hilton Garden Inn San Francisco / Oakland Bay Bridge,"1800 Powell St, CA 94608",CA 94608,"Lodging, Hotel",https://hiltongardeninn3.hilton.com/en/hotels/california/hilton-garden-inn-san-francisco-oakland-bay-bridge-SFOBBGI/index.html,San Francisco
360,Home of Chicken & Waffles,"444 Embarcadero West, CA 94607",CA 94607,"Restaurant, Soul Food",https://www.homeofchickenandwaffles.com/,San Francisco
361,Home Of Chicken And Waffles,"444 Embarcadero West, CA 94607",CA 94607,"Restaurant, Soul Food",https://www.homeofchickenandwaffles.com/,San Francisco
362,Everett and Jones,"126 Broadway, CA 94607",CA 94607,"Restaurant, BBQ",https://eandjbbq.com/,San Francisco
363,Everett And Jones Bbq,"126 Broadway, CA 94607",CA 94607,"Restaurant, Catering, Bbq",https://eandjbbq.com/,San Francisco
364,Souley Vegan,"301 Broadway, CA 94607",CA 94607,"Restaurant, Soul Food, Vegan, Healthy Food",https://souleyvegan.com/,San Francisco
365,Brendan Havenar-Daughton,"2847 Peralta St, CA 94608",CA 94608,"Grocery, Farmers Market",https://www.cityslickerfarms.org/index.php,San Francisco
366,Oeste Bar & Kitchen,"722 Clay St, CA 94607",CA 94607,"Restaurant, Bar, Lounge",https://oesteoakland.com/,San Francisco
367,Oeste,"722 Clay Street, CA 94607",CA 94607,"Restaurant, Bar, Cafe",https://oesteoakland.com/,San Francisco
368,African Caribbean Food Market,"547 8th St, CA 94607",CA 94607,Grocery,https://manmustwak.net/,San Francisco
369,Purple Heart Patient Center,"415 4th St, CA 94607",CA 94607,Cannabis Dispensary,https://www.purpleheartpc.org/,San Francisco
370,Graffiti Pizza,"719 Washington Street, CA 94607",CA 94607,"Restaurant, Fast Food",,San Francisco
371,Yammy's Cafe,"542 9th Street, CA 94607",CA 94607,"Restaurant, Ethnic, African, Ethiopian",https://www.yammysethiopiancafe.com/,San Francisco
372,Super Juiced,"540 9th St, CA 94607",CA 94607,Juice Bar,,San Francisco
373,Super Juiced Oakland,"540 9th Street, CA 94607",CA 94607,"Restaurant, Vegan, Juice Bar, Healthy Food",https://www.oaklandisjuiced.com/,San Francisco
374,Fort Green,"736 Washington Street, CA 94607",CA 94607,"Restaurant, Catering, Bar",https://www.fortgreenoakland.com/,San Francisco
375,NextGen Dentistry,"475 8th St, CA 94607",CA 94607,Healthcare,https://www.oaklandnextgendentistry.com/,San Francisco
376,Oakland African American Museum & Library,"659 14th St, CA 94612",CA 94612,Museum,https://www.oaklandlibrary.org/locations/african-american-museum-library-oakland,San Francisco
377,District Oakland,"827 Washington St, CA 94607",CA 94607,"Bar, Lounge",https://districtoak.com/,San Francisco
378,The Cook And Her Farmer,"510 9th Street, CA 94607",CA 94607,"Restaurant, Seafood, Dining",https://unsplash.com/photos/xxalfz6v9rq,San Francisco
